id,theme,sub,file,source_url,source_page,licence,fichier,statut
7-2-074,animaux,europe,7-2-074_berger-allemand.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4f/Berger_allemand_en_montagne.jpg/1280px-Berger_allemand_en_montagne.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Berger allemand,,images/cartes-500/7-2-074.webp,ok
7-2-075,animaux,europe,7-2-075_border-collie.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c3/Border_collie_taking_break_at_park.jpg/1280px-Border_collie_taking_break_at_park.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Border collie,,images/cartes-500/7-2-075.webp,ok
7-2-076,animaux,europe,7-2-076_pur-sang-anglais.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7b/Horseracing_Churchill_Downs.jpg/1280px-Horseracing_Churchill_Downs.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Pur-sang,,images/cartes-500/7-2-076.webp,ok
7-3-001,animaux,monde,7-3-001_elephant-d-afrique.md,https://upload.wikimedia.org/wikipedia/commons/e/ec/African_elephant.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Éléphant d'Afrique,,images/cartes-500/7-3-001.webp,ok
7-3-002,animaux,monde,7-3-002_elephant-d-asie.md,https://upload.wikimedia.org/wikipedia/commons/4/4c/Asian_elephant_-_melbourne_zoo.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Éléphant d'Asie,,images/cartes-500/7-3-002.webp,ok
7-3-003,animaux,monde,7-3-003_lion.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6f/011_The_lion_king_Tryggve_in_the_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg/1280px-011_The_lion_king_Tryggve_in_the_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Lion,,images/cartes-500/7-3-003.webp,ok
7-3-004,animaux,monde,7-3-004_tigre.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/71/Sibirischer_tiger_de_edit02.jpg/1280px-Sibirischer_tiger_de_edit02.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Tigre,,images/cartes-500/7-3-004.webp,ok
7-3-005,animaux,monde,7-3-005_leopard.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a1/Namibie_Etosha_Leopard_01edit.jpg/1280px-Namibie_Etosha_Leopard_01edit.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Léopard,,images/cartes-500/7-3-005.webp,ok
7-3-006,animaux,monde,7-3-006_guepard.md,https://upload.wikimedia.org/wikipedia/commons/0/09/TheCheethcat.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Guépard,,images/cartes-500/7-3-006.webp,ok
7-3-007,animaux,monde,7-3-007_girafe.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e0/Giraffa_camelopardalis_angolensis.jpg/1280px-Giraffa_camelopardalis_angolensis.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Girafe,,images/cartes-500/7-3-007.webp,ok
7-3-008,animaux,monde,7-3-008_zebre.md,https://upload.wikimedia.org/wikipedia/commons/9/96/Plains_Zebra_Equus_quagga_cropped.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Zèbre,,images/cartes-500/7-3-008.webp,ok
